@RELATION demanda_productos

@ATTRIBUTE cantidadVendidaMes NUMERIC
@ATTRIBUTE stockActual NUMERIC
@ATTRIBUTE precioUnitario NUMERIC
@ATTRIBUTE categoria STRING
@ATTRIBUTE mesVenta {ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE}
@ATTRIBUTE frecuenciaReposicion NUMERIC
@ATTRIBUTE tienePromocion {false,true}
@ATTRIBUTE demanda {ALTA,MEDIA,BAJA}

@DATA
62,55,23.77,'DEPORTES',JUNIO,3,true,MEDIA
46,38,141.62,'ELECTRONICA',MAYO,6,false,ALTA
71,31,125.05,'ELECTRONICA',SEPTIEMBRE,2,true,MEDIA
94,36,77.81,'ALIMENTOS',DICIEMBRE,8,false,ALTA
46,13,56.55,'MODA',NOVIEMBRE,2,true,MEDIA
54,5,27.13,'DEPORTES',MARZO,6,false,MEDIA
110,94,130.78,'MODA',JULIO,10,true,ALTA
123,12,69.72,'DEPORTES',OCTUBRE,4,true,ALTA
38,68,94.75,'DEPORTES',ABRIL,4,false,MEDIA
63,14,108.3,'ELECTRONICA',MAYO,3,false,MEDIA
16,12,5.85,'DEPORTES',AGOSTO,4,false,BAJA
47,82,125.17,'HOGAR',MAYO,2,true,MEDIA
86,100,147.72,'DEPORTES',MARZO,0,true,ALTA
53,11,128.17,'DEPORTES',DICIEMBRE,9,false,MEDIA
91,85,33.87,'ALIMENTOS',NOVIEMBRE,0,false,ALTA
109,10,82.83,'DEPORTES',JULIO,5,true,BAJA
23,76,31.04,'ALIMENTOS',OCTUBRE,0,false,BAJA
33,32,84.17,'HOGAR',SEPTIEMBRE,5,true,ALTA
44,65,122.28,'HOGAR',ABRIL,3,true,MEDIA
44,85,75.85,'MODA',ABRIL,3,true,MEDIA
58,24,94.2,'HOGAR',OCTUBRE,10,false,MEDIA
20,14,107.73,'HOGAR',MAYO,2,true,BAJA
147,44,145.89,'ALIMENTOS',JULIO,1,false,ALTA
12,16,69.44,'ALIMENTOS',ENERO,6,false,BAJA
107,32,56.45,'ALIMENTOS',MAYO,10,true,ALTA
31,63,69.92,'ELECTRONICA',NOVIEMBRE,1,true,MEDIA
40,70,46.69,'HOGAR',NOVIEMBRE,7,true,MEDIA
122,1,38.69,'DEPORTES',OCTUBRE,4,true,ALTA
86,3,132.42,'MODA',ENERO,4,false,ALTA
67,12,137.35,'ELECTRONICA',JUNIO,2,false,MEDIA
57,24,128.86,'DEPORTES',NOVIEMBRE,6,false,MEDIA
131,70,111.38,'ALIMENTOS',DICIEMBRE,8,true,ALTA
4,95,83.01,'MODA',MARZO,7,false,BAJA
51,3,95.07,'DEPORTES',OCTUBRE,10,false,BAJA
58,56,87.66,'HOGAR',JUNIO,2,true,MEDIA
34,100,53.07,'HOGAR',OCTUBRE,4,false,MEDIA
130,63,146.86,'ELECTRONICA',OCTUBRE,8,false,ALTA
81,49,83.17,'ELECTRONICA',OCTUBRE,0,true,ALTA
27,60,123.3,'HOGAR',OCTUBRE,2,true,BAJA
26,90,69.6,'ELECTRONICA',OCTUBRE,0,false,BAJA
78,81,123.77,'DEPORTES',NOVIEMBRE,1,true,ALTA
100,66,32.08,'ELECTRONICA',MAYO,4,true,ALTA
80,24,111.35,'DEPORTES',JULIO,2,true,ALTA
137,85,130.71,'DEPORTES',NOVIEMBRE,6,false,ALTA
149,35,51.23,'ELECTRONICA',ABRIL,3,false,ALTA
79,96,138.12,'DEPORTES',JUNIO,9,false,ALTA
110,13,56.71,'DEPORTES',MARZO,8,false,ALTA
26,64,133.83,'DEPORTES',OCTUBRE,10,true,BAJA
68,52,129.43,'MODA',JULIO,0,false,MEDIA
48,22,144.2,'ALIMENTOS',NOVIEMBRE,5,true,MEDIA
82,89,99.41,'HOGAR',JULIO,2,true,ALTA
8,43,83.69,'ALIMENTOS',ENERO,5,true,ALTA
41,17,4.08,'ELECTRONICA',ENERO,10,false,MEDIA
2,21,89.41,'ALIMENTOS',SEPTIEMBRE,4,true,BAJA
63,92,26.4,'ELECTRONICA',ABRIL,6,true,MEDIA
8,12,22.09,'MODA',JUNIO,3,true,BAJA
144,22,30.73,'ELECTRONICA',SEPTIEMBRE,10,false,ALTA
76,41,129.55,'MODA',ENERO,9,true,ALTA
10,29,90.04,'ALIMENTOS',ABRIL,6,true,BAJA
106,77,41.71,'MODA',ABRIL,9,false,ALTA
125,81,90.86,'ALIMENTOS',MARZO,9,true,ALTA
115,55,107.47,'MODA',MAYO,8,true,ALTA
95,38,30.43,'ALIMENTOS',MARZO,3,false,ALTA
115,16,118.23,'ELECTRONICA',JULIO,7,true,ALTA
1,55,94.39,'ELECTRONICA',MAYO,4,false,ALTA
59,65,93.04,'ALIMENTOS',JUNIO,5,false,MEDIA
91,98,85.83,'ALIMENTOS',JUNIO,1,true,ALTA
25,68,27.11,'MODA',JULIO,7,false,BAJA
121,49,70.94,'MODA',DICIEMBRE,1,true,ALTA
48,13,80.78,'DEPORTES',ENERO,5,true,MEDIA
146,82,108.33,'ELECTRONICA',SEPTIEMBRE,3,true,ALTA
98,9,40.22,'ELECTRONICA',DICIEMBRE,0,false,ALTA
118,40,80.36,'ELECTRONICA',OCTUBRE,0,true,ALTA
15,99,120.57,'DEPORTES',JUNIO,9,true,BAJA
122,14,144.43,'HOGAR',ENERO,8,false,ALTA
27,94,28.1,'HOGAR',JULIO,7,false,BAJA
143,80,58.59,'MODA',MARZO,9,false,ALTA
1,100,5.79,'HOGAR',ABRIL,9,true,BAJA
89,27,42.56,'ALIMENTOS',NOVIEMBRE,9,true,BAJA
132,31,98.08,'HOGAR',FEBRERO,8,false,ALTA
144,58,81.36,'ELECTRONICA',DICIEMBRE,1,false,ALTA
53,57,56.06,'ELECTRONICA',ABRIL,6,true,MEDIA
64,51,33.34,'ELECTRONICA',MARZO,1,false,MEDIA
58,43,64.89,'ELECTRONICA',JULIO,0,false,MEDIA
131,89,57.45,'MODA',AGOSTO,8,true,ALTA
90,25,29.18,'MODA',NOVIEMBRE,10,true,MEDIA
24,3,117.39,'ELECTRONICA',SEPTIEMBRE,4,false,BAJA
148,69,33.73,'MODA',JULIO,9,false,ALTA
33,57,10.91,'HOGAR',ABRIL,6,true,ALTA
116,96,140.91,'MODA',JULIO,8,false,MEDIA
7,32,96.45,'MODA',NOVIEMBRE,9,false,BAJA
1,82,95.23,'DEPORTES',AGOSTO,5,true,BAJA
13,15,48.22,'ELECTRONICA',JUNIO,2,false,MEDIA
61,29,136.18,'DEPORTES',JULIO,8,true,MEDIA
73,98,56.37,'ELECTRONICA',MARZO,10,true,MEDIA
15,16,65.71,'HOGAR',JULIO,0,false,BAJA
42,66,100.18,'HOGAR',FEBRERO,9,false,MEDIA
42,25,28.39,'ELECTRONICA',OCTUBRE,8,false,MEDIA
74,39,7.61,'ELECTRONICA',OCTUBRE,3,true,MEDIA
54,1,118.76,'DEPORTES',MARZO,1,true,MEDIA
19,85,132.53,'DEPORTES',SEPTIEMBRE,5,true,BAJA
15,71,59.22,'ELECTRONICA',MARZO,1,true,ALTA
21,71,123.24,'MODA',ENERO,9,false,BAJA
123,10,120.38,'DEPORTES',JULIO,10,false,ALTA
14,33,85.25,'DEPORTES',ABRIL,7,false,BAJA
121,27,137.73,'HOGAR',NOVIEMBRE,9,true,ALTA
147,19,105.35,'ALIMENTOS',NOVIEMBRE,0,false,ALTA
102,89,76.41,'ELECTRONICA',JUNIO,0,true,ALTA
135,41,7.96,'ALIMENTOS',FEBRERO,2,false,ALTA
131,41,14.08,'DEPORTES',AGOSTO,6,true,ALTA
18,79,14.98,'DEPORTES',ENERO,8,false,BAJA
51,76,34.35,'ELECTRONICA',ABRIL,5,true,ALTA
145,3,52.98,'ELECTRONICA',AGOSTO,1,true,ALTA
63,49,80.67,'ELECTRONICA',OCTUBRE,1,false,MEDIA
55,84,115.91,'DEPORTES',FEBRERO,3,false,MEDIA
101,69,129.73,'ALIMENTOS',AGOSTO,10,true,ALTA
45,71,135.82,'ELECTRONICA',OCTUBRE,9,false,MEDIA
30,54,40.49,'ALIMENTOS',OCTUBRE,8,false,MEDIA
77,43,130.05,'HOGAR',JULIO,9,false,ALTA
111,99,75.86,'HOGAR',MAYO,4,true,ALTA
114,46,116.96,'ELECTRONICA',JUNIO,4,true,ALTA
134,91,55.43,'DEPORTES',SEPTIEMBRE,4,true,ALTA
33,46,12.55,'HOGAR',ABRIL,4,true,MEDIA
27,4,66.86,'DEPORTES',AGOSTO,10,false,BAJA
118,81,109.09,'DEPORTES',MAYO,10,true,ALTA
7,78,127.94,'ALIMENTOS',JULIO,6,true,BAJA
107,19,72.5,'ALIMENTOS',DICIEMBRE,4,true,MEDIA
142,79,101.31,'DEPORTES',ABRIL,5,false,ALTA
107,20,85.5,'HOGAR',NOVIEMBRE,1,false,ALTA
121,85,38.29,'HOGAR',SEPTIEMBRE,0,false,ALTA
85,0,119.91,'HOGAR',ENERO,5,false,ALTA
114,30,81.84,'MODA',JULIO,9,true,MEDIA
13,78,126.41,'DEPORTES',ENERO,5,true,MEDIA
130,50,86.21,'DEPORTES',SEPTIEMBRE,1,false,ALTA
31,17,136.61,'MODA',JULIO,6,false,MEDIA
122,55,36.55,'MODA',NOVIEMBRE,0,true,ALTA
126,62,113.64,'HOGAR',OCTUBRE,8,false,ALTA
125,35,72.66,'ELECTRONICA',AGOSTO,9,true,ALTA
61,100,110.43,'ALIMENTOS',JUNIO,10,true,BAJA
74,43,33.93,'HOGAR',MARZO,9,true,MEDIA
144,75,100.7,'DEPORTES',MARZO,2,true,ALTA
102,55,11.61,'ELECTRONICA',NOVIEMBRE,9,false,BAJA
3,29,15.12,'DEPORTES',AGOSTO,8,false,BAJA
3,20,144.35,'HOGAR',DICIEMBRE,10,false,BAJA
75,100,141.51,'DEPORTES',JULIO,2,false,ALTA
5,86,64.93,'DEPORTES',ABRIL,8,true,BAJA
93,49,83.65,'MODA',AGOSTO,2,true,ALTA
52,16,56.64,'ELECTRONICA',ENERO,0,true,MEDIA
121,80,70.49,'ELECTRONICA',ABRIL,0,false,ALTA
76,96,142.43,'DEPORTES',JULIO,9,true,BAJA
115,51,67.91,'HOGAR',MAYO,9,false,ALTA
103,10,95.97,'HOGAR',NOVIEMBRE,0,true,ALTA
72,37,145.04,'MODA',ENERO,8,true,MEDIA
28,88,115.17,'HOGAR',JULIO,7,true,MEDIA
86,35,11.39,'ALIMENTOS',MAYO,2,true,MEDIA
119,69,40.2,'ALIMENTOS',SEPTIEMBRE,1,false,ALTA
24,99,6.1,'ALIMENTOS',SEPTIEMBRE,3,false,BAJA
10,57,79.84,'ALIMENTOS',FEBRERO,8,true,BAJA
102,48,48.78,'MODA',AGOSTO,4,true,ALTA
28,100,10.17,'ALIMENTOS',MAYO,7,true,BAJA
147,26,42.32,'ALIMENTOS',NOVIEMBRE,9,true,ALTA
66,62,75.07,'DEPORTES',JULIO,1,false,MEDIA
24,93,142.13,'ELECTRONICA',JUNIO,10,true,BAJA
123,40,96.9,'DEPORTES',ENERO,8,true,ALTA
67,28,37.15,'DEPORTES',ABRIL,10,true,ALTA
96,78,33.5,'MODA',JUNIO,9,true,ALTA
147,41,80.73,'HOGAR',AGOSTO,0,true,ALTA
120,73,62.79,'MODA',DICIEMBRE,5,false,ALTA
88,94,20.57,'ALIMENTOS',DICIEMBRE,10,true,ALTA
91,49,149.49,'MODA',ABRIL,10,false,ALTA
89,32,28.88,'HOGAR',SEPTIEMBRE,1,true,ALTA
134,99,132.7,'DEPORTES',JULIO,6,true,ALTA
62,71,69.24,'ALIMENTOS',SEPTIEMBRE,10,true,MEDIA
27,46,96.01,'ELECTRONICA',OCTUBRE,10,true,BAJA
28,11,41.36,'ALIMENTOS',AGOSTO,10,true,BAJA
82,59,99.59,'HOGAR',DICIEMBRE,7,false,ALTA
3,82,123.53,'DEPORTES',ABRIL,9,true,BAJA
80,99,119.41,'ALIMENTOS',ABRIL,8,true,ALTA
76,90,110.71,'MODA',JUNIO,9,true,ALTA
22,44,124.32,'HOGAR',MARZO,10,true,BAJA
98,9,123.47,'ELECTRONICA',DICIEMBRE,5,false,ALTA
136,3,130.81,'HOGAR',AGOSTO,5,true,MEDIA
44,90,15.16,'MODA',JULIO,2,false,MEDIA
133,45,52.98,'ELECTRONICA',OCTUBRE,10,false,ALTA
112,49,30.85,'ALIMENTOS',JULIO,7,true,ALTA
116,69,86.67,'DEPORTES',MARZO,9,true,ALTA
113,52,37.9,'HOGAR',ENERO,8,false,ALTA
81,34,19.24,'ALIMENTOS',ABRIL,4,false,ALTA
100,76,35.43,'HOGAR',ABRIL,2,true,ALTA
87,39,37.34,'DEPORTES',JUNIO,10,false,ALTA
38,98,33.12,'DEPORTES',SEPTIEMBRE,8,true,MEDIA
33,73,101.11,'MODA',JULIO,1,false,MEDIA
71,3,89.77,'DEPORTES',FEBRERO,9,true,MEDIA
86,77,10.99,'ALIMENTOS',NOVIEMBRE,0,true,ALTA
124,42,58.54,'HOGAR',MAYO,7,true,ALTA
36,83,9.68,'DEPORTES',MARZO,3,true,ALTA
122,22,135.39,'DEPORTES',ENERO,0,true,ALTA
76,82,118.07,'HOGAR',ABRIL,9,false,ALTA
107,45,29.77,'MODA',SEPTIEMBRE,7,false,ALTA
52,61,92.38,'MODA',MARZO,8,false,MEDIA
25,38,98.5,'MODA',MAYO,7,false,BAJA
107,69,37.14,'MODA',DICIEMBRE,4,false,ALTA
16,44,141.09,'HOGAR',OCTUBRE,0,true,BAJA
28,1,55.72,'HOGAR',JUNIO,3,false,BAJA
65,27,131.56,'MODA',MARZO,4,true,MEDIA
66,57,24.59,'HOGAR',ABRIL,0,false,MEDIA
43,43,1.85,'DEPORTES',SEPTIEMBRE,0,true,MEDIA
146,76,121.77,'MODA',AGOSTO,8,true,ALTA
76,43,69.32,'HOGAR',DICIEMBRE,8,true,ALTA
136,56,56.55,'MODA',JULIO,4,false,ALTA
1,17,97.21,'DEPORTES',ENERO,8,true,BAJA
98,91,89.23,'ALIMENTOS',MAYO,3,false,ALTA
5,78,44.61,'ALIMENTOS',MARZO,10,false,BAJA
53,86,32.88,'DEPORTES',MARZO,0,false,MEDIA
39,37,52.06,'ELECTRONICA',NOVIEMBRE,4,true,MEDIA
69,5,76.68,'HOGAR',JUNIO,0,false,MEDIA
101,45,145.19,'HOGAR',JULIO,0,false,ALTA
114,3,81.76,'ELECTRONICA',DICIEMBRE,1,true,ALTA
132,4,51.34,'ELECTRONICA',FEBRERO,7,true,ALTA
45,84,93.38,'DEPORTES',JULIO,6,true,MEDIA
45,19,59.62,'MODA',OCTUBRE,5,false,BAJA
110,54,99.27,'MODA',FEBRERO,7,false,ALTA
25,13,56.54,'ELECTRONICA',SEPTIEMBRE,7,true,BAJA
20,18,141.65,'HOGAR',DICIEMBRE,10,false,BAJA
32,81,92.24,'DEPORTES',MARZO,5,true,MEDIA
14,29,40.5,'DEPORTES',MAYO,6,true,BAJA
80,54,66.98,'MODA',JUNIO,9,false,ALTA
121,36,4.24,'ALIMENTOS',ABRIL,1,false,ALTA
71,65,93.01,'MODA',JUNIO,10,false,MEDIA
136,89,116.95,'DEPORTES',MARZO,10,false,ALTA
96,15,88.18,'ELECTRONICA',AGOSTO,10,false,MEDIA
88,57,122.78,'DEPORTES',OCTUBRE,7,false,MEDIA
150,44,129.18,'HOGAR',AGOSTO,5,true,ALTA
65,84,12.06,'ALIMENTOS',JUNIO,5,false,MEDIA
39,34,54.33,'HOGAR',NOVIEMBRE,10,false,MEDIA
36,22,81.39,'DEPORTES',SEPTIEMBRE,9,false,MEDIA
20,97,79.13,'DEPORTES',ABRIL,6,true,BAJA
150,22,13.56,'HOGAR',NOVIEMBRE,3,true,BAJA
141,53,52.55,'ALIMENTOS',MARZO,0,false,ALTA
123,23,48.66,'MODA',DICIEMBRE,4,false,ALTA
32,51,28.3,'MODA',AGOSTO,7,false,ALTA
136,97,55.49,'HOGAR',SEPTIEMBRE,3,false,ALTA
72,100,132.69,'MODA',JUNIO,10,true,BAJA
38,28,100.66,'ELECTRONICA',AGOSTO,1,true,MEDIA
67,83,38.37,'ALIMENTOS',ENERO,8,true,MEDIA
105,53,49.51,'ELECTRONICA',MAYO,0,true,BAJA
147,94,96.79,'HOGAR',JUNIO,3,false,ALTA
93,33,116.93,'DEPORTES',NOVIEMBRE,1,false,ALTA
120,17,144.49,'ALIMENTOS',ENERO,5,false,ALTA
94,62,101.49,'ELECTRONICA',MARZO,7,false,ALTA
134,66,51.79,'ELECTRONICA',DICIEMBRE,5,false,ALTA
5,46,117.39,'ELECTRONICA',JUNIO,10,true,BAJA
0,12,1.26,'DEPORTES',NOVIEMBRE,0,true,BAJA
33,30,52.32,'DEPORTES',JULIO,10,false,MEDIA
120,14,100.0,'DEPORTES',AGOSTO,8,false,ALTA
117,36,40.16,'MODA',NOVIEMBRE,7,false,ALTA
81,28,127.99,'DEPORTES',MARZO,5,true,MEDIA
73,42,56.61,'ALIMENTOS',NOVIEMBRE,9,true,MEDIA
121,1,108.28,'DEPORTES',JULIO,2,false,ALTA
73,87,84.13,'ELECTRONICA',JUNIO,2,true,MEDIA
67,41,34.98,'ALIMENTOS',NOVIEMBRE,8,false,MEDIA
118,47,59.13,'ALIMENTOS',SEPTIEMBRE,4,true,ALTA
54,48,78.78,'ELECTRONICA',AGOSTO,1,true,MEDIA
7,58,108.3,'MODA',FEBRERO,3,false,BAJA
71,65,49.0,'HOGAR',AGOSTO,2,true,MEDIA
29,29,57.66,'ELECTRONICA',JUNIO,7,false,ALTA
43,22,88.33,'DEPORTES',JUNIO,1,true,MEDIA
31,58,61.66,'MODA',JULIO,1,false,MEDIA
140,98,128.52,'DEPORTES',ABRIL,9,true,ALTA
122,51,69.19,'DEPORTES',ENERO,8,true,ALTA
78,97,96.64,'MODA',DICIEMBRE,3,true,ALTA
106,36,80.77,'MODA',FEBRERO,9,false,ALTA
101,78,126.62,'HOGAR',DICIEMBRE,7,false,ALTA
69,6,85.95,'MODA',SEPTIEMBRE,10,true,MEDIA
54,55,4.75,'ALIMENTOS',SEPTIEMBRE,4,false,MEDIA
51,61,39.99,'ALIMENTOS',OCTUBRE,8,false,MEDIA
10,58,74.42,'MODA',DICIEMBRE,10,false,MEDIA
148,40,23.16,'MODA',DICIEMBRE,9,true,MEDIA
44,15,133.12,'HOGAR',OCTUBRE,10,true,MEDIA
97,65,86.33,'MODA',DICIEMBRE,8,true,ALTA
40,34,123.77,'ELECTRONICA',DICIEMBRE,6,true,MEDIA
15,29,93.77,'DEPORTES',OCTUBRE,1,false,BAJA
100,56,126.49,'MODA',JUNIO,1,true,ALTA
97,47,2.93,'HOGAR',JUNIO,4,false,BAJA
99,20,47.66,'DEPORTES',FEBRERO,3,true,ALTA
88,58,3.25,'ALIMENTOS',OCTUBRE,10,false,ALTA
37,81,14.19,'ELECTRONICA',DICIEMBRE,8,false,MEDIA
23,96,114.96,'ELECTRONICA',ENERO,1,true,BAJA
119,45,66.95,'ALIMENTOS',SEPTIEMBRE,9,false,ALTA
5,16,60.46,'HOGAR',MARZO,0,false,BAJA
